Business Name,Address,City,State,ZIP,Phone Number,Email,Website URL,Google Maps URL
"Roadway Towing and Services","2727 S Beech Daly St, Dearborn Heights, MI 48125","Dearborn Heights","MI","48125","(313) 522-5200","","roadwaytowingmi.com","https://www.google.com/maps/place/Roadway+Towing+and+Services/data=!4m7!3m6!1s0x8824ccaa356bffff:0xb2b560dbc9d43862!8m2!3d42.2920536!4d-83.2898828!16s%2Fg%2F11h3vc40d3!19sChIJ__9rNarMJIgRYjjUydtgtbI?authuser=0&hl=en&rclk=1"
"West Michigan Towing","4207 Lincoln Rd, 2479 Van Ommen Dr, Holland, MI 49424","Holland","MI","49424","(616) 394-9641","","westmichigantowingmi.com","https://www.google.com/maps/place/West+Michigan+Towing/data=!4m7!3m6!1s0x881992ca94f123bf:0xe334944c66e4ba79!8m2!3d42.727209!4d-86.053759!16s%2Fg%2F1tdbxc8p!19sChIJvyPxlMqSGYgRebrkZkyUNOM?authuser=0&hl=en&rclk=1"
"Phelps Towing Inc.","4257 Page Ave, Michigan Center, MI 49254","Michigan Center","MI","49254","(517) 764-1921","","phelpstowing.com","https://www.google.com/maps/place/Phelps+Towing+Inc./data=!4m7!3m6!1s0x883d260c16238121:0xce70ee1dd96327a!8m2!3d42.2343726!4d-84.3365389!16s%2Fg%2F12hqbc5ym!19sChIJIYEjFgwmPYgRejKW3eEO5ww?authuser=0&hl=en&rclk=1"
"Fifelski Towing & Recovery","1486 142nd Ave, Dorr, MI 49323","Dorr","MI","49323","(616) 681-9620","","fifelskitowing.com","https://www.google.com/maps/place/Fifelski+Towing+%26+Recovery/data=!4m7!3m6!1s0x8819c99f59514231:0xd76f859b450881a7!8m2!3d42.7240457!4d-85.6905993!16s%2Fg%2F11q_92vq72!19sChIJMUJRWZ_JGYgRp4EIRZuFb9c?authuser=0&hl=en&rclk=1"
"Team Brickyard","1721 Park Dr, Traverse City, MI 49686","Traverse City","MI","49686","(231) 947-8697","","brickyardtowing.com","https://www.google.com/maps/place/Team+Brickyard/data=!4m7!3m6!1s0x881e32cb9643c6c3:0x56f659ea50cb33bf!8m2!3d44.7363891!4d-85.6101358!16s%2Fg%2F1hm3047rv!19sChIJw8ZDlssyHogRvzPLUOpZ9lY?authuser=0&hl=en&rclk=1"
"Byers Wrecker Service","399 South St, Rochester, MI 48307","Rochester","MI","48307","(248) 651-4180","","byerswrecker.com","https://www.google.com/maps/place/Byers+Wrecker+Service/data=!4m7!3m6!1s0x8824e9ca9df6dae5:0x35d2b251b939633c!8m2!3d42.6763507!4d-83.1240795!16s%2Fg%2F1hc629glj!19sChIJ5dr2ncrpJIgRPGM5uVGy0jU?authuser=0&hl=en&rclk=1"
"Sparta Towing & Recovery - Main","100 Loomis St, Sparta, MI 49345","Sparta","MI","49345","(616) 887-8008","","spartatowing.com","https://www.google.com/maps/place/Sparta+Towing+%26+Recovery+-+Main/data=!4m7!3m6!1s0x881906bcd52c0f81:0xcbf6175b7d5616db!8m2!3d43.161891!4d-85.702193!16s%2Fg%2F1tfzbt31!19sChIJgQ8s1bwGGYgR2xZWfVsX9ss?authuser=0&hl=en&rclk=1"
"Van's Towing & Transport","29191 Groesbeck Hwy, Roseville, MI 48066","Roseville","MI","48066","(586) 775-5500","","vanstowing.com","https://www.google.com/maps/place/Van%27s+Towing+%26+Transport/data=!4m7!3m6!1s0x8824d9b60a9410cf:0xc749d091ebc6fcae!8m2!3d42.510467!4d-82.957498!16s%2Fg%2F1v76_8sf!19sChIJzxCUCrbZJIgRrvzG65HQScc?authuser=0&hl=en&rclk=1"
"P.J.'s Towing","1425 Rensen St, Lansing, MI 48910","Lansing","MI","48910","(517) 886-4000","","pjtows.com","https://www.google.com/maps/place/P.J.%27s+Towing/data=!4m7!3m6!1s0x8822c17a99b024a7:0x2a3681249d520ee4!8m2!3d42.6861621!4d-84.5321628!16s%2Fg%2F11r8msyr1!19sChIJpySwmXrBIogR5A5SnSSBNio?authuser=0&hl=en&rclk=1"
"Green's 24 Hour Towing","1504 N Fancher St, Mt Pleasant, MI 48858","Mt Pleasant","MI","48858","(989) 772-5454","","greens24hrtowing.com","https://www.google.com/maps/place/Green%27s+24+Hour+Towing/data=!4m7!3m6!1s0x88221cb4de35a0bf:0xc9c01dbb454d51b7!8m2!3d43.617841!4d-84.7714529!16s%2Fg%2F1tqyg3bv!19sChIJv6A13rQcIogRt1FNRbsdwMk?authuser=0&hl=en&rclk=1"
"Joe Ballor Towing Inc.","57760 Main St, New Haven, MI 48048","New Haven","MI","48048","(586) 749-5117","","joeballortowing.com","https://www.google.com/maps/place/Joe+Ballor+Towing+Inc./data=!4m7!3m6!1s0x88251bc34a1f8679:0xd6294a5dd7bf1bfe!8m2!3d42.7252797!4d-82.7953196!16s%2Fg%2F1tdvkt78!19sChIJeYYfSsMbJYgR_hu_111KKdY?authuser=0&hl=en&rclk=1"
"Flat Rate Towing & Service","4011 N Dort Hwy, Flint, MI 48506","Flint","MI","48506","(810) 397-8939","","flatratetowingflint.com","https://www.google.com/maps/place/Flat+Rate+Towing+%26+Service/data=!4m7!3m6!1s0x882383bddf1ae6e5:0x62fd1f6eeaa7404d!8m2!3d43.0497587!4d-83.6627005!16s%2Fg%2F11f5r70gcv!19sChIJ5eYa372DI4gRTUCn6m4f_WI?authuser=0&hl=en&rclk=1"
"Goch & Son's Towing","750 S Deacon St, Detroit, MI 48217","Detroit","MI","48217","(313) 382-2727","","gochtowing.com","https://www.google.com/maps/place/Goch+%26+Son%27s+Towing/data=!4m7!3m6!1s0x883b33ed30be755b:0x363a458fd9463f6b!8m2!3d42.2822216!4d-83.142259!16s%2Fg%2F1tcwm6xd!19sChIJW3W-MO0zO4gRaz9G2Y9FOjY?authuser=0&hl=en&rclk=1"
"Sakstrup's Towing","5600 S State Rd, Ann Arbor, MI 48108","Ann Arbor","MI","48108","(734) 971-5400","","sakstrupstowing.com","https://www.google.com/maps/place/Sakstrup%27s+Towing/data=!4m7!3m6!1s0x883ca56c3abd40c9:0x125bd5eb3bfd70a0!8m2!3d42.2066285!4d-83.7357502!16s%2Fg%2F1tf2sx6x!19sChIJyUC9OmylPIgRoHD9O-vVWxI?authuser=0&hl=en&rclk=1"
"Reed City Towing","800 S Chestnut St Suite 102, Reed City, MI 49677","Reed City","MI","49677","(231) 832-0101","","reedcitytowing.com","https://www.google.com/maps/place/Reed+City+Towing/data=!4m7!3m6!1s0x881f25e563cba187:0x43a672aa7d90dc39!8m2!3d43.8665127!4d-85.509655!16s%2Fg%2F11c60j5_mn!19sChIJh6HLY-UlH4gROdyQfapypkM?authuser=0&hl=en&rclk=1"
"Mr. Nice Guy Towing LLC","12036 Liberty St, Clio, MI 48420","Clio","MI","48420","(810) 288-9106","","mrniceguytowing.net","https://www.google.com/maps/place/Mr.+Nice+Guy+Towing+LLC/data=!4m7!3m6!1s0x88238f6da59eb8d1:0x8ea62e7bf88f2cfb!8m2!3d43.1784769!4d-83.7157848!16s%2Fg%2F11pzs9gz6f!19sChIJ0biepW2PI4gR-yyP-Hsupo4?authuser=0&hl=en&rclk=1"
"Grand Valley Towing and Transport","0-199 Lake Michigan Dr Suite B, Grand Rapids, MI 49534","Grand Rapids","MI","49534","(616) 644-7601","","grandvalleytowing.com","https://www.google.com/maps/place/Grand+Valley+Towing+and+Transport/data=!4m7!3m6!1s0x837a8b60261ac1f:0x2352d3a1f6be1785!8m2!3d42.9724355!4d-85.7895481!16s%2Fg%2F11spmpzbyn!19sChIJH6xhAraoNwgRhRe-9qHTUiM?authuser=0&hl=en&rclk=1"
"Blk Knights Towing And Recovery","20745 Glendale St, Detroit, MI 48223","Detroit","MI","48223","(313) 766-7148","","knightstowinginc.com","https://www.google.com/maps/place/Blk+Knights+Towing+And+Recovery/data=!4m7!3m6!1s0x8824cbebf41045b5:0x3a887d3d293a96ef!8m2!3d42.3812746!4d-83.2450752!16s%2Fg%2F11sdzsz2dl!19sChIJtUUQ9OvLJIgR75Y6KT19iDo?authuser=0&hl=en&rclk=1"
"West Town Towing","1514 Saginaw St, Flint, MI 48503","Flint","MI","48503","(810) 237-1100","","westtowntow.com","https://www.google.com/maps/place/West+Town+Towing/data=!4m7!3m6!1s0x88238204782977ed:0x63771d69d1f9016c!8m2!3d43.0073183!4d-83.6826084!16s%2Fg%2F11b7rnckm6!19sChIJ7XcpeASCI4gRbAH50Wkdd2M?authuser=0&hl=en&rclk=1"
"Wright's Choice Towing and Recovery","4456 Field St, Detroit, MI 48214","Detroit","MI","48214","(313) 629-0500","","wrightschoicetowing.com","https://www.google.com/maps/place/Wright%27s+Choice+Towing+and+Recovery/data=!4m7!3m6!1s0x8824d32133a18037:0xbe717ab4f3526c0a!8m2!3d42.3707411!4d-83.0153785!16s%2Fg%2F11rq0k0nwg!19sChIJN4ChMyHTJIgRCmxS87R6cb4?authuser=0&hl=en&rclk=1"
